Unit,headcode,origin_loc,origin_dep_dt,cif_uid
82212,1N87,KNGX,17/03/2015 15:08,Y62206
40740,5E09,CRGNTNY,17/03/2015 08:59,Y62398
40740,1E10,EDINBUR,17/03/2015 10:00,Y62120
82219,5S26,EDINBUR,17/03/2015 21:47,Y62501
82200,1A39,LEEDS,17/03/2015 15:45,Y61995
82223,1B87,NEWANG,17/03/2015 15:52,Y62027
40708,1S24,KNGX,17/03/2015 16:00,Y62264
40711,1Y88,YORK,17/03/2015 16:02,Y62307
40720,1D21,KNGX,17/03/2015 16:06,Y62070
40704,1A36,LEEDS,17/03/2015 14:45,Y61990
40704,1D13,KNGX,17/03/2015 12:03,Y62054
40704,3B84,BNDSGRN,17/03/2015 11:09,Y64261
40704,5Y08,KNGX,17/03/2015 09:40,Y64260
82227,1E06,GLGC,17/03/2015 06:50,Y62111
82227,1D17,KNGX,17/03/2015 14:05,Y62062
82206,1Y44,NWCSTLE,17/03/2015 16:25,Y62301
82213,1E23,EDINBUR,17/03/2015 16:30,Y62155
82208,1D30,KNGX,17/03/2015 19:33,Y62090
82214,1S25,KNGX,17/03/2015 16:30,Y62266
82214,1A31,LEEDS,17/03/2015 13:15,Y61983
82226,1D22,KNGX,17/03/2015 16:33,Y62073
82214,1D10,KNGX,17/03/2015 10:35,Y62048
82214,1A13,SKPT,17/03/2015 06:55,Y61960
40737,1A25,LEEDS,17/03/2015 10:45,Y61974
40737,1D16,KNGX,17/03/2015 13:35,Y62061
40737,1D05,KNGX,17/03/2015 08:06,Y62038
40737,1A40,LEEDS,17/03/2015 16:15,Y61996
82227,1A41,LEEDS,17/03/2015 16:45,Y61999
40711,1B90,KNGX,17/03/2015 19:06,Y62030
82219,1D12,KNGX,17/03/2015 11:35,Y62052
82211,1A18,LEEDS,17/03/2015 08:45,Y61965
82219,1S26,KNGX,17/03/2015 17:00,Y62269
82219,100,EDINBUR,17/03/2015 05:48,Y62104
82211,1S15,KNGX,17/03/2015 11:30,Y62239
82219,1A34,LEEDS,17/03/2015 14:15,Y61987
82211,1E24,EDINBUR,17/03/2015 17:00,Y62158
40705,1D23,KNGX,17/03/2015 17:03,Y62075
82209,1A43,LEEDS,17/03/2015 17:15,Y62001
82216,1Y47,NWCSTLE,17/03/2015 17:25,Y62302
82201,1N27,KNGX,17/03/2015 17:30,Y62186
40704,1D24,KNGX,17/03/2015 17:33,Y62078
40735,1S28,KNGX,17/03/2015 18:00,Y62273
82217,5N21,NWCSTLE,17/03/2015 18:00,Y62430
82212,1Y90,YORK,17/03/2015 18:02,Y62308
82215,1N29,KNGX   ,17/03/2015 18:19,Y62188
82229,1S30,KNGX   ,17/03/2015 18:30,Y62276
82200,1S31,KNGX,17/03/2015 19:00,Y62277
40737,1D28,KNGX   ,17/03/2015 19:03,Y62088
40701,5S16,IVRNESS,17/03/2015 20:34,Y62483
82203,1D32,KNGX,17/03/2015 20:35,Y62095
40704,5D24,HAGT,17/03/2015 20:58,Y62362
82212,1N34,KNGX   ,17/03/2015 21:00,Y62197
40711,5B90,LINCLNC,17/03/2015 21:13,Y62348
82201,1Y53,NWCSTLE,17/03/2015 21:15,Y62303
40748,5S20,ABRDEEN,17/03/2015 21:25,Y62487
40737,5D28,LEEDS,17/03/2015 21:29,Y62371
82213,1D33,KNGX,17/03/2015 21:35,Y62098
40701,5E13,IVRNTMD,17/03/2015 21:41,Y62406
40708,5S24,ABRDEEN,17/03/2015 23:20,Y62495
82200,5S31,EDINBUR,17/03/2015 23:57,Y62508
